paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,45,275,0.163636364
78,Lampic,2006,Lampic 2006,140,222,0.63
135,Shin,2020,Shin 2020,68,85,0.8
137,Skoog Svanberg,2006,Skoog Svanberg 2006,33,141,0.234042553
149,Tydén,2006,Tydén 2006,195,300,0.65
