paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,36,275,0.130909091
78,Lampic,2006,Lampic 2006,93,222,0.42
135,Shin,2020,Shin 2020,37,85,0.435
137,Skoog Svanberg,2006,Skoog Svanberg 2006,27,141,0.191489362
149,Tydén,2006,Tydén 2006,15,300,0.05
