paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,97,275,0.352727273
78,Lampic,2006,Lampic 2006,204,222,0.92
135,Shin,2020,Shin 2020,82,85,0.965
137,Skoog Svanberg,2006,Skoog Svanberg 2006,92,141,0.65248227
149,Tydén,2006,Tydén 2006,273,300,0.91
