paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,81,275,0.294545455
78,Lampic,2006,Lampic 2006,158,222,0.71
135,Shin,2020,Shin 2020,75,85,0.882
137,Skoog Svanberg,2006,Skoog Svanberg 2006,58,141,0.411347518
149,Tydén,2006,Tydén 2006,207,300,0.69
