paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,10,275,0.036363636
78,Lampic,2006,Lampic 2006,9,222,0.04
135,Shin,2020,Shin 2020,20,85,0.235
137,Skoog Svanberg,2006,Skoog Svanberg 2006,4,141,0.028368794
149,Tydén,2006,Tydén 2006,9,300,0.03
