paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,67,275,0.243636364
78,Lampic,2006,Lampic 2006,160,222,0.72
135,Shin,2020,Shin 2020,66,85,0.776
137,Skoog Svanberg,2006,Skoog Svanberg 2006,30,141,0.212765957
149,Tydén,2006,Tydén 2006,237,300,0.79
