paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,96,275,0.349090909
78,Lampic,2006,Lampic 2006,206,222,0.93
135,Shin,2020,Shin 2020,81,85,0.953
137,Skoog Svanberg,2006,Skoog Svanberg 2006,94,141,0.666666667
149,Tydén,2006,Tydén 2006,282,300,0.94
