paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,57,275,0.207272727
78,Lampic,2006,Lampic 2006,120,222,0.54
135,Shin,2020,Shin 2020,48,85,0.565
137,Skoog Svanberg,2006,Skoog Svanberg 2006,48,141,0.340425532
149,Tydén,2006,Tydén 2006,147,300,0.49
