paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,57,275,0.207272727
78,Lampic,2006,Lampic 2006,167,222,0.75
135,Shin,2020,Shin 2020,82,85,0.965
137,Skoog Svanberg,2006,Skoog Svanberg 2006,56,141,0.397163121
149,Tydén,2006,Tydén 2006,228,300,0.76
