paperid,author,year,study,cases,total,proportion
33,Chan,2015,Chan 2015,50,275,0.181818182
78,Lampic,2006,Lampic 2006,144,222,0.65
135,Shin,2020,Shin 2020,46,85,0.541
137,Skoog Svanberg,2006,Skoog Svanberg 2006,43,141,0.304964539
149,Tydén,2006,Tydén 2006,207,300,0.69
